FITS_File,JD,Predicted_RA_deg,Predicted_DEC_deg,Detected,Centroid_X_px,Centroid_Y_px,Detected_RA_deg,Detected_DEC_deg,Uncertainty_px
016238_0000_4953_REDUCED.fits,2460614.531412037,10.864287499966473,-36.74315370369874,True,676.5427905733629,497.1142550487752,10.864163378992187,-36.74304833489751,0.5
016238_0001_4953_REDUCED.fits,2460614.531550926,10.864212499865891,-36.743142592572724,True,676.558770009759,496.7391859294583,10.864160341358199,-36.743187663862955,0.5
016238_0002_4953_REDUCED.fits,2460614.532800926,10.863537499966473,-36.7430703703654,True,674.3846003434603,498.4320540713715,10.863432571177949,-36.74306774130799,0.5
016238_0003_4953_REDUCED.fits,2460614.532939815,10.86346249986589,-36.74305925923939,True,674.447346112014,498.3242489022289,10.863385538961744,-36.74305357578159,0.5
016238_0004_4953_REDUCED.fits,2460614.533090278,10.863381249798834,-36.743047222192416,True,674.2928314919051,498.12095844877615,10.863296813390063,-36.74305955792363,0.5
016238_0005_4953_REDUCED.fits,2460614.533240741,10.863299999731778,-36.743035185145445,True,674.0551086374504,498.5451537137232,10.863190817032173,-36.74298801211362,0.5
016238_0006_4953_REDUCED.fits,2460614.53337963,10.863224999631194,-36.74302407401944,True,674.0022850279775,498.272956187641,10.863139090133059,-36.74309290475498,0.5
016238_0007_4953_REDUCED.fits,2460614.533530093,10.863143749815597,-36.74301203700972,True,673.8990452481282,498.473127333682,10.863106750572225,-36.74298007476523,0.5
016238_0008_4953_REDUCED.fits,2460614.533680555,10.863062500251457,-36.74300000003725,True,673.589825727819,498.61442783235975,10.8629829603002,-36.74298162214717,0.5
016238_0009_4953_REDUCED.fits,2460614.533819444,10.862987500150874,-36.74298888891124,True,673.6078773291217,498.6948996932932,10.86285592064596,-36.74295225521772,0.5
016238_0010_4953_REDUCED.fits,2460614.533969908,10.862906249580906,-36.74297685178976,True,673.0603645821425,498.66191038427013,10.862769983847848,-36.74298254167134,0.5
016238_0011_4953_REDUCED.fits,2460614.53412037,10.862825000016764,-36.74296851851976,True,672.7605393960588,498.69922656989957,10.862692135988976,-36.742916436807015,0.5
016238_0012_4953_REDUCED.fits,2460614.534270833,10.862743750201165,-36.742962500014904,True,672.4687320368665,498.7975610915872,10.86265605139154,-36.742938736935876,0.5
016238_0013_4953_REDUCED.fits,2460614.534409722,10.862668750100582,-36.7429569444519,True,672.0946999926895,498.68924222409294,10.862577678245877,-36.74296673066116,0.5
016238_0014_4953_REDUCED.fits,2460614.534560185,10.862587500033527,-36.74295092592841,True,671.40961226107,498.6726779328151,10.862468421993457,-36.742994372658394,0.5
016238_0015_4953_REDUCED.fits,2460614.534710648,10.862506249966472,-36.742944907404926,True,671.2252769698623,498.6757282420367,10.86242163157495,-36.742951615932284,0.5
016238_0016_4953_REDUCED.fits,2460614.534849537,10.862431249911989,-36.742934259246226,True,671.0652529543066,498.65878139274975,10.862350253161415,-36.74295280006042,0.5
016238_0017_4953_REDUCED.fits,2460614.535,10.862349999899417,-36.742922222207326,True,671.1715023511422,499.01823819447264,10.862329181745302,-36.74290810511142,0.5
016238_0018_4953_REDUCED.fits,2460614.535150463,10.862268749886844,-36.74291018516843,True,670.6121459816803,498.7884502115782,10.862115438187663,-36.74291664833431,0.5
