Adjusted JD (Spline), Interpolated RA (Spline)
0,10.864322
0.039598,10.842719
0.079196,10.821097
0.118795,10.799487
0.158393,10.777918
0.197991,10.75642
0.237589,10.735022
0.277187,10.713754
