Asteroids ,2024 R02.csv,2024 RJ16.csv,2024 RN15.csv,2024 SD3.csv,2024 SH7.csv,2024 SJ.csv,2024 SR4.csv,2024 SS.csv,2024 YR4.csv,Ceres.csv,2014 GL1.csv,2024 ON.csv
Obs. 1,0.1469,0.1261,0.11484,0.30513,0.16274,0.09609,0.19531,0.11922,0.63431,2.0698,1.0572,0.05847
Obs. 2,0.14669,0.12595,0.11469,0.30477,0.16257,0.09602,0.19509,0.11909,0.63427,2.0727,1.0568,0.05831
Obs. 3,0.14649,0.1258,0.11454,0.30441,0.1624,0.09595,0.19487,0.11896,0.63424,2.0756,1.0564,0.05816
Obs. 4,0.14629,0.12565,0.11439,0.30405,0.16223,0.09588,0.19465,0.11882,0.6342,2.0785,1.056,0.05801
Obs. 5,0.14609,0.12551,0.11425,0.3037,0.16206,0.09581,0.19443,0.11869,0.63417,2.0814,1.0556,0.05786
Obs. 6,0.14589,0.12536,0.1141,0.30334,0.16189,0.09574,0.19421,0.11856,0.63413,2.0843,1.0552,0.05771
